[rosmaster.main][INFO] 2019-11-11 18:42:43,413: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-11 18:42:43,413: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-11 18:42:43,413: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-11 18:42:43,414: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-11 18:42:43,414: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-11 18:42:43,414: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-11 18:42:43,488: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 18:42:43,491: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32791] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 18:42:43,567: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 18:42:43,567: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 18:42:43,567: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 18:42:43,572: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/
[rosmaster.master][INFO] 2019-11-11 18:42:43,572: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/
[rosmaster.master][INFO] 2019-11-11 18:42:43,577: +SUB [/clock] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/
[rosmaster.master][INFO] 2019-11-11 18:42:43,578: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/
[rosmaster.master][INFO] 2019-11-11 18:42:43,582: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/
[rosmaster.master][INFO] 2019-11-11 18:42:43,824: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:43,825: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:43,826: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:43,830: +SUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:43,855: +PUB [/rosout] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/
[rosmaster.master][INFO] 2019-11-11 18:42:43,856: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/
[rosmaster.master][INFO] 2019-11-11 18:42:43,856: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/
[rosmaster.master][INFO] 2019-11-11 18:42:43,860: +SUB [/clock] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/
[rosmaster.master][INFO] 2019-11-11 18:42:43,914: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']
[rosmaster.master][INFO] 2019-11-11 18:42:43,915: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 18:42:43,915: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/']
[rosmaster.master][INFO] 2019-11-11 18:42:43,916: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 18:42:44,113: +PUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,113: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,114: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']
[rosmaster.master][INFO] 2019-11-11 18:42:44,114: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,114: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']
[rosmaster.master][INFO] 2019-11-11 18:42:44,115: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35567/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 18:42:44,116: +SERVICE [/gazebo/delete_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,116: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']
[rosmaster.master][INFO] 2019-11-11 18:42:44,117: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 18:42:44,117: +SERVICE [/gazebo/delete_light] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,117: publisherUpdate[/clock] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41825/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 18:42:44,118: +SERVICE [/gazebo/get_model_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,118: +SERVICE [/gazebo/get_model_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,119: +SERVICE [/gazebo/get_world_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,119: +SERVICE [/gazebo/get_joint_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,120: +SERVICE [/gazebo/get_link_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,120: +SERVICE [/gazebo/get_link_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,121: +SERVICE [/gazebo/get_light_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,121: +SERVICE [/gazebo/set_light_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,121: +SERVICE [/gazebo/get_physics_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,122: +PUB [/gazebo/link_states] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,122: +PUB [/gazebo/model_states] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,123: +SERVICE [/gazebo/set_link_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,123: +SERVICE [/gazebo/set_physics_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
[rosmaster.master][INFO] 2019-11-11 18:42:44,124: +SERVICE [/gazebo/set_model_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:41625/
