[rosmaster.main][INFO] 2019-12-28 03:35:10,632: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 03:35:10,632: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 03:35:10,633: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 03:35:10,633: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 03:35:10,633: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 03:35:10,633: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 03:35:10,680: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:10,681: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41651] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:10,757: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:10,757: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:10,762: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/
[rosmaster.master][INFO] 2019-12-28 03:35:10,763: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/
[rosmaster.master][INFO] 2019-12-28 03:35:10,765: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/
[rosmaster.master][INFO] 2019-12-28 03:35:10,768: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/
[rosmaster.master][INFO] 2019-12-28 03:35:12,417: +PUB [/rosout] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/
[rosmaster.master][INFO] 2019-12-28 03:35:12,417: +SERVICE [/DroneNode/get_loggers] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/
[rosmaster.master][INFO] 2019-12-28 03:35:12,418: +SERVICE [/DroneNode/set_logger_level] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/
[rosmaster.master][INFO] 2019-12-28 03:35:12,421: +SUB [/drone_command] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/
[rosmaster.master][INFO] 2019-12-28 03:35:12,437: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/']
[rosmaster.master][INFO] 2019-12-28 03:35:12,438: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42723/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43349/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 03:35:15,302: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43855] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:15,304: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 03:35:15,305: +PARAM [/usb_cam/video_device] by /roslaunch
