[rosmaster.main][INFO] 2019-12-23 03:12:30,868: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:12:30,869: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:12:30,869: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:12:30,870: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:12:30,870: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:12:30,870: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:12:30,925: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:30,927: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37757] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,026: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,027: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:31,029: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/
[rosmaster.master][INFO] 2019-12-23 03:12:31,029: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/
[rosmaster.master][INFO] 2019-12-23 03:12:31,030: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/
[rosmaster.master][INFO] 2019-12-23 03:12:31,033: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/
[rosmaster.master][INFO] 2019-12-23 03:12:31,050: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,051: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,051: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,060: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,061: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,061: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,069: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/']
[rosmaster.master][INFO] 2019-12-23 03:12:31,071: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:12:31,072: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/']
[rosmaster.master][INFO] 2019-12-23 03:12:31,072: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,073: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:12:31,073: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/']
[rosmaster.master][INFO] 2019-12-23 03:12:31,073: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,074: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38091/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:12:31,074: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,080: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40281/
[rosmaster.master][INFO] 2019-12-23 03:12:31,081: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40281/
[rosmaster.master][INFO] 2019-12-23 03:12:31,082: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40281/
[rosmaster.master][INFO] 2019-12-23 03:12:31,107: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,108: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,109: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,110: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,111: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,112: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,113: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,114: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,115: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,118: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,120: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,121: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,121: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,122: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,123: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,124: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,126: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,127: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,128: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,128: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,129: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,130: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,131: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,131: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,132: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,133: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,133: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,134: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,135: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:12:31,136: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44705/
[rosmaster.master][INFO] 2019-12-23 03:12:31,137: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,139: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,142: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,143: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,144: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,145: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43985/
[rosmaster.master][INFO] 2019-12-23 03:12:31,146: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,148: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,149: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-23 03:12:31,150: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46709/
[rosmaster.master][INFO] 2019-12-23 03:12:31,151: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
