[rosmaster.main][INFO] 2020-02-28 17:30:47,655: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:30:47,655: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:30:47,656: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:30:47,656: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:30:47,656: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:30:47,656: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:30:47,710: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,714: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40651] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,815: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,815: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,815: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,816: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:30:47,818: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/
[rosmaster.master][INFO] 2020-02-28 17:30:47,818: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/
[rosmaster.master][INFO] 2020-02-28 17:30:47,820: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/
[rosmaster.master][INFO] 2020-02-28 17:30:47,822: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/
[rosmaster.master][INFO] 2020-02-28 17:30:47,856: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,858: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,859: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,869: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,870: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,872: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,878: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40985/
[rosmaster.master][INFO] 2020-02-28 17:30:47,879: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40985/
[rosmaster.master][INFO] 2020-02-28 17:30:47,880: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40985/
[rosmaster.master][INFO] 2020-02-28 17:30:47,895: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42337/
[rosmaster.master][INFO] 2020-02-28 17:30:47,896: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42337/
[rosmaster.master][INFO] 2020-02-28 17:30:47,896: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42337/
[rosmaster.master][INFO] 2020-02-28 17:30:47,907: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,908: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,909: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,910: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,912: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,913: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,914: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,915: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,916: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,916: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,918: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,919: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,920: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,921: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,922: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,923: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,924: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,927: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,929: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,930: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,932: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,933: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,934: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,935: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,936: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,937: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,938: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,939: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-28 17:30:47,942: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/
[rosmaster.master][INFO] 2020-02-28 17:30:47,945: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,948: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,950: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,950: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,951: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40985/
[rosmaster.master][INFO] 2020-02-28 17:30:47,952: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,953: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,954: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/
[rosmaster.master][INFO] 2020-02-28 17:30:47,955: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,956: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/']
[rosmaster.master][INFO] 2020-02-28 17:30:47,958: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:30:47,959: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 17:30:47,959: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37457/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37077/']
