[rosmaster.main][INFO] 2020-01-30 21:39:58,556: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 21:39:58,556: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 21:39:58,557: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 21:39:58,557: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 21:39:58,558: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 21:39:58,558: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 21:39:58,621: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:39:58,625: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34181] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:39:58,715: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:39:58,716: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 21:39:58,724: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:39:58,725: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:39:58,726: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:39:58,730: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:40:22,670: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:40:22,671: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40443/
[rosmaster.master][INFO] 2020-01-30 21:40:22,671: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42965
[rosmaster.master][INFO] 2020-01-30 21:40:22,672: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42965
[rosmaster.main][INFO] 2020-01-30 21:40:22,681: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-01-30 21:40:22,682: stopping master...
[rospy.core][INFO] 2020-01-30 21:40:22,682: signal_shutdown [atexit]
