[rosmaster.main][INFO] 2019-12-22 19:12:57,646: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 19:12:57,646: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 19:12:57,647: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 19:12:57,647: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 19:12:57,647: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 19:12:57,647: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 19:12:57,716: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,719: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44015] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,815: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,815: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,815: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,815: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,815: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,816: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:57,818: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/
[rosmaster.master][INFO] 2019-12-22 19:12:57,818: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/
[rosmaster.master][INFO] 2019-12-22 19:12:57,819: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/
[rosmaster.master][INFO] 2019-12-22 19:12:57,821: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/
[rosmaster.master][INFO] 2019-12-22 19:12:57,837: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/
[rosmaster.master][INFO] 2019-12-22 19:12:57,837: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/
[rosmaster.master][INFO] 2019-12-22 19:12:57,838: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/
[rosmaster.master][INFO] 2019-12-22 19:12:57,844: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42303/
[rosmaster.master][INFO] 2019-12-22 19:12:57,845: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42303/
[rosmaster.master][INFO] 2019-12-22 19:12:57,846: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42303/
[rosmaster.master][INFO] 2019-12-22 19:12:57,847: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/']
[rosmaster.master][INFO] 2019-12-22 19:12:57,848: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 19:12:57,848: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42303/']
[rosmaster.master][INFO] 2019-12-22 19:12:57,849: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33651/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40883/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42303/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 19:12:57,853: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39097/
[rosmaster.master][INFO] 2019-12-22 19:12:57,854: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39097/
