[rosmaster.main][INFO] 2020-02-27 08:13:42,654: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 08:13:42,654: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 08:13:42,655: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 08:13:42,655: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 08:13:42,655: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 08:13:42,656: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 08:13:42,715: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,719: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33737] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,821: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,822: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:13:42,829: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2020-02-27 08:13:42,829: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2020-02-27 08:13:42,832: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2020-02-27 08:13:42,835: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42697/
[rosmaster.master][INFO] 2020-02-27 08:13:42,865: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-27 08:13:42,866: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-27 08:13:42,868: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-27 08:13:42,869: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,870: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,872: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,888: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44577/
[rosmaster.master][INFO] 2020-02-27 08:13:42,889: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44577/
[rosmaster.master][INFO] 2020-02-27 08:13:42,890: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44577/
[rosmaster.master][INFO] 2020-02-27 08:13:42,897: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33851/
[rosmaster.master][INFO] 2020-02-27 08:13:42,898: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33851/
[rosmaster.master][INFO] 2020-02-27 08:13:42,899: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33851/
[rosmaster.master][INFO] 2020-02-27 08:13:42,935: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,936: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,938: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,940: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:13:42,942: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:13:42,944: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,945: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-27 08:13:42,946: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
[rosmaster.master][INFO] 2020-02-27 08:13:42,947: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-27 08:13:42,948: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35941/
