[rosmaster.main][INFO] 2019-12-27 22:27:30,390: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:27:30,390: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:27:30,390: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:27:30,391: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:27:30,391: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:27:30,391: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:27:30,438: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:30,439: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46183] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:30,517: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:30,518: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:30,522: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42715/
[rosmaster.master][INFO] 2019-12-27 22:27:30,523: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42715/
[rosmaster.master][INFO] 2019-12-27 22:27:30,524: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42715/
[rosmaster.master][INFO] 2019-12-27 22:27:30,527: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42715/
[rosmaster.master][INFO] 2019-12-27 22:27:32,230: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41113] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,232: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,233: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:27:32,319: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33033/
[rosmaster.master][INFO] 2019-12-27 22:27:32,320: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33033/
[rosmaster.master][INFO] 2019-12-27 22:27:32,321: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33033/
[rosmaster.master][INFO] 2019-12-27 22:27:32,325: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44735/
[rosmaster.master][INFO] 2019-12-27 22:27:32,326: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44735/
[rosmaster.master][INFO] 2019-12-27 22:27:32,326: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44735/
[rosmaster.master][INFO] 2019-12-27 22:27:32,331: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42871/
[rosmaster.master][INFO] 2019-12-27 22:27:32,332: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42871/
