[rosmaster.main][INFO] 2019-12-27 01:06:11,011: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 01:06:11,011: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 01:06:11,012: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 01:06:11,012: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 01:06:11,012: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 01:06:11,012: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 01:06:11,073: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,076: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42405] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,152: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,153: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,153: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,153: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,153: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,153: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:06:11,155: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37567/
[rosmaster.master][INFO] 2019-12-27 01:06:11,155: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37567/
[rosmaster.master][INFO] 2019-12-27 01:06:11,156: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37567/
[rosmaster.master][INFO] 2019-12-27 01:06:11,159: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37567/
[rosmaster.master][INFO] 2019-12-27 01:06:11,174: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40557/
[rosmaster.master][INFO] 2019-12-27 01:06:11,175: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40557/
[rosmaster.master][INFO] 2019-12-27 01:06:11,176: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40557/
