[rosmaster.main][INFO] 2019-12-29 02:51:12,311: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 02:51:12,311: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 02:51:12,312: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 02:51:12,312: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 02:51:12,312: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 02:51:12,312: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 02:51:12,366: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:12,368: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45511] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:12,456: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:12,456: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:12,460: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43819/
[rosmaster.master][INFO] 2019-12-29 02:51:12,461: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43819/
[rosmaster.master][INFO] 2019-12-29 02:51:12,462: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43819/
[rosmaster.master][INFO] 2019-12-29 02:51:12,465: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43819/
[rosmaster.master][INFO] 2019-12-29 02:51:14,497: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36845] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,499: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,499: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,499: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,499: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:51:14,500: +PARAM [/whycon/inner_diameter] by /roslaunch
