[rosmaster.main][INFO] 2019-11-03 22:12:55,661: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-03 22:12:55,661: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-03 22:12:55,662: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-03 22:12:55,662: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-03 22:12:55,662: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-03 22:12:55,663: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-03 22:12:55,727: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:55,728: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46671] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:55,856: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:55,856: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:56,131: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/
[rosmaster.master][INFO] 2019-11-03 22:12:56,132: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/
[rosmaster.master][INFO] 2019-11-03 22:12:56,134: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/
[rosmaster.master][INFO] 2019-11-03 22:12:56,136: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/
[rosmaster.master][INFO] 2019-11-03 22:12:57,735: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44575] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:57,737: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:57,737: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:12:57,737: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-03 22:13:02,002: +PUB [/rosout] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2019-11-03 22:13:02,003: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:02,003: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2019-11-03 22:13:02,004: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:02,004: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2019-11-03 22:13:02,005: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:02,011: +SUB [/clock] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2019-11-03 22:13:02,011: +SUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:02,074: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/']
[rosmaster.master][INFO] 2019-11-03 22:13:02,075: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-03 22:13:02,075: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/']
[rosmaster.master][INFO] 2019-11-03 22:13:02,076: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32975/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-03 22:13:03,560: +PUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,561: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,561: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,562: +SERVICE [/gazebo/delete_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,562: +SERVICE [/gazebo/delete_light] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,563: +SERVICE [/gazebo/get_model_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,563: +SERVICE [/gazebo/get_model_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,564: +SERVICE [/gazebo/get_world_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,564: +SERVICE [/gazebo/get_joint_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,565: +SERVICE [/gazebo/get_link_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
[rosmaster.master][INFO] 2019-11-03 22:13:03,565: +SERVICE [/gazebo/get_link_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:38931/
