[rosmaster.main][INFO] 2020-02-26 20:03:40,838: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 20:03:40,838: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 20:03:40,838: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 20:03:40,839: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 20:03:40,839: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 20:03:40,839: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 20:03:40,854: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,855: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41971] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,937: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,938: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,938: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,938: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,939: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,939: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,939: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,939: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,939: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43295/
[rosmaster.master][INFO] 2020-02-26 20:03:40,940: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,940: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,940: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43295/
[rosmaster.master][INFO] 2020-02-26 20:03:40,940: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,941: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,941: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,941: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 20:03:40,942: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43295/
