[rosmaster.main][INFO] 2019-11-26 18:10:53,993: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-26 18:10:53,993: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-26 18:10:53,994: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-26 18:10:53,994: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-26 18:10:53,994: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-26 18:10:53,994: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-26 18:10:54,055: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,057: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42669] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/z] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/x] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/y] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/inertia/yy] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/2/arm_length] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/attitude_gain/y] by /roslaunch
[rosmaster.master][INFO] 2019-11-26 18:10:54,140: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/attitude_gain/x] by /roslaunch
