[rosmaster.main][INFO] 2020-01-31 22:21:54,017: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 22:21:54,017: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 22:21:54,018: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 22:21:54,018: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 22:21:54,018: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 22:21:54,018: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 22:21:54,072: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,073: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34683] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,168: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,168: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,168: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,169: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,169: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,169: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,169: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,169: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,170: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,170: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,170: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,170: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 22:21:54,170: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45013/
[rosmaster.master][INFO] 2020-01-31 22:21:54,171: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45013/
[rosmaster.master][INFO] 2020-01-31 22:21:54,172: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45013/
[rosmaster.master][INFO] 2020-01-31 22:21:54,175: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45013/
[rosmaster.master][INFO] 2020-01-31 22:21:54,197: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42119/
