[rosmaster.main][INFO] 2019-12-23 03:05:38,311: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:05:38,311: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:05:38,312: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:05:38,312: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:05:38,312: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:05:38,312: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:05:38,371: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,375: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43929] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,477: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,478: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:05:38,479: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37951/
[rosmaster.master][INFO] 2019-12-23 03:05:38,480: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37951/
[rosmaster.master][INFO] 2019-12-23 03:05:38,481: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37951/
[rosmaster.master][INFO] 2019-12-23 03:05:38,484: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37951/
[rosmaster.master][INFO] 2019-12-23 03:05:38,501: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
[rosmaster.master][INFO] 2019-12-23 03:05:38,502: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35611/
