[rosmaster.main][INFO] 2020-02-27 16:13:31,079: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:13:31,079: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:13:31,080: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:13:31,080: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:13:31,081: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:13:31,081: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:13:31,116: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,118: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37517] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,220: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,221: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,221: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,221: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,221: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:13:31,222: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/
[rosmaster.master][INFO] 2020-02-27 16:13:31,223: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/
[rosmaster.master][INFO] 2020-02-27 16:13:31,224: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/
[rosmaster.master][INFO] 2020-02-27 16:13:31,228: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/
[rosmaster.master][INFO] 2020-02-27 16:13:31,263: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/
[rosmaster.master][INFO] 2020-02-27 16:13:31,264: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/
[rosmaster.master][INFO] 2020-02-27 16:13:31,265: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/
[rosmaster.master][INFO] 2020-02-27 16:13:31,270: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/
[rosmaster.master][INFO] 2020-02-27 16:13:31,272: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/
[rosmaster.master][INFO] 2020-02-27 16:13:31,273: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/
[rosmaster.master][INFO] 2020-02-27 16:13:31,280: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/']
[rosmaster.master][INFO] 2020-02-27 16:13:31,283: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:13:31,283: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/']
[rosmaster.master][INFO] 2020-02-27 16:13:31,284: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44145/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35443/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:13:31,288: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35247/
[rosmaster.master][INFO] 2020-02-27 16:13:31,289: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35247/
[rosmaster.master][INFO] 2020-02-27 16:13:31,290: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35247/
[rosmaster.master][INFO] 2020-02-27 16:13:31,309: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39521/
[rosmaster.master][INFO] 2020-02-27 16:13:31,310: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39521/
[rosmaster.master][INFO] 2020-02-27 16:13:31,310: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39521/
[rosmaster.master][INFO] 2020-02-27 16:13:31,318: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34779/
